ESC_REDE_distance	ESC_REDE_randcontrl_distance	ESC_noclass_distance	ESC_noclass_randcontrl_distance	TSC_REDE_distance	TSC_REDE_randcontrl_distance	TSC_noclass_distance	TSC_noclass_randcontrl_distance	ESC_NEDE_distance	ESC_NEDE_randcontrl_distance	TSC_NEDE_distance	TSC_NEDE_randcontrl_distance	ESC_NonEnh_distance	ESC_NonEnh_randcontrl_distance	TSC_NonEnh_distance	TSC_NonEnh_randcontrl_distance
45986	141855	296493	424849	62808	3830	56298	6742	12478.5	42488.5	4844.5	26192.5	9178.5	167532.5	54658.5	57599.5
19303.5	29275.5	24353	175356	2946.5	493446.5	232639.5	33343.5	13566.5	463968.5	5290.5	136441.5	128352	1864838	23887.5	729903.5
65499	11767	7129.5	17682.5	54311	485022	232273.5	13852.5	5144.5	5107.5	12371	1382	53715.5	95498.5	36221.5	143122.5
22217	1232706	7708	106978	464890	12680	229472	93167	97698	163155	24569	123947	134635.5	83599.5	25989	56247
34649	4654	26049.5	30764.5	29030.5	19302.5	1250751.5	50543.5	94935	422231	16075.5	31545.5	533239	199753	62099.5	38722.5
99540	67049	44180.5	97838.5	34366	64122	1847723	79068	75112.5	727022.5	119611	1316779	70390	146351	160484	5521
5172	240464	413987.5	766538.5	5204.5	65219.5	642982	47981	22623	2850	66132.5	112966.5	68153	268812	187808	210
41325	1199933	241176.5	291870.5	26824	13309	478395	7736	58987.5	19572.5	255398	15223	75732.5	5116.5	887471	35776
49815.5	482926.5	234744.5	51764.5	6935	37928	1190608	83248	147202	18094	17245	420327	520486.5	181109.5	4569	91145
8282.5	421382.5	39572	14862	25850.5	25.5	408227	96949	712592.5	2037.5	27006.5	11192.5	18131.5	11543.5	490552	44427
32790	47456	138649.5	349943.5	28294.5	307560.5	152441.5	27911.5	44598.5	624380.5	29623	104748	13226	380376	579880.5	177361.5
29046.5	307532.5	172673	98149	26399	19613	26995	78367	3182	530748	19403.5	31504.5	351637	123290	308876.5	294667.5
10090.5	790054.5	8269	86564	59085	26926	730026.5	16570.5	70455.5	10949.5	55444.5	114504.5	204219	298568	73813	85830
34153.5	168117.5	8061	12820	58641.5	102233.5	729247	161084	382923	5322	129303	230875	442934	114583	46538.5	7374.5
66161	116	143470.5	20408.5	27971.5	9211.5	285159	494375	72995.5	128877.5	16267.5	177859.5	314056	27209	28986.5	167330.5
7496	209737	172799.5	101490.5	14734.5	49733.5	526929	30633	177093	168907	32617.5	10083.5	32102	3243	921119.5	28859.5
9769	36674	12380.5	65195.5	7241.5	655167.5	524940	225962	176711	681731	76311.5	127965.5	3524	3215	268924	22133
206819.5	23826.5	671835	1269472	571668.5	40969.5	524580.5	2682211.5	63499.5	2744671.5	29274.5	23959.5	343577	1999	65464	7162
13745	643469	257950	98578	26001	33618	135867.5	38902.5	71334.5	419002.5	32997.5	201467.5	90151.5	169836.5	744177.5	143729.5
50975	100281	15077	176121	51190	34405	33961	163536	48608	144978	4268	274163	179657.5	97419.5	102156	5264
203211	18531	7668.5	154320.5	108090	198532	235920	13911	47961.5	3136.5	14936	74773	421555	39431	23515	136229
4514.5	75541.5	15754	15017	143334	429272	6929	198702	22940.5	712690.5	4407	2959158	17626.5	2031798.5	164956.5	19518.5
147091	23103	62721.5	28302.5	371664.5	208725.5	7833	531737	21620.5	9444.5	104272	109465	409695.5	7733.5	73748	3971
7062	83075	246078.5	233284.5	222086	90099	13589	83063	6061	6001	19439.5	11729.5	501528	31700	16962.5	54112.5
116661	79509	256484.5	483622.5	39662.5	310741.5	20722	349979	89962	1145	10859.5	198564.5	759533	343901	301767	5915
74903.5	560.5	232624	302081	34370	54650	21178	49711	8188.5	71118.5	14553	169217	414421.5	54836.5	731010.5	31456.5
45548.5	768868.5	225975	137681	49770.5	19887.5	21498.5	480250.5	79430	5105	42591	12357	44080.5	12242.5	899723.5	209159.5
790722	39869	224517	38719	246600	143069	21979	20442	31282.5	77522.5	160958.5	3166.5	344032.5	4129.5	9228	5244
584470	147562	222624.5	1402.5	161501	55437	35718.5	42053.5	55918.5	77418.5	165645	1041	172740	73495	45906	24795
142990.5	318824.5	51075.5	15319.5	7047.5	386882.5	133546.5	1525820.5	11068.5	10202.5	5537	25882	431986.5	273634.5	92332	12292
212481	233155	67055	22446	131021	35042	134311	21996	36200	37876	17823.5	9263.5	203645	11915	17220	12095
923306	383800	47537	1199627	3775.5	158459.5	155132	46358	13769.5	8457.5	104343	1263798	106742	787833	736185	34743
785477.5	7107.5	86250	369232	256955	81168	725548	48952	27514.5	15301.5	118776.5	7605.5	15180	78374	58576.5	974204.5
239415.5	53953.5	47463	823	111605.5	74500.5	688358	4884	66206	20968	24888	1863600	113942	51016	21282	226789
267022	581838	194301.5	646144.5	91618	673284	517780.5	21347.5	44800	116967	7608.5	20542.5	222624.5	4558.5	16403.5	30525.5
182174.5	180425.5	198772.5	113721.5	4291	703122	494035	517	199610	32134	7235.5	33004.5	11670.5	7979.5	876762	345716
5544	17736	203674	21080	130943	116720	164673	58016	198713.5	34453.5	4495	12119	89168.5	12463.5	17294	6333
32332.5	99884.5	5095	205059	45709.5	48483.5	163853.5	102783.5	400715	18787	6430.5	36159.5	442291	166611	65012.5	39525.5
89873	5560	83539.5	1261191.5	2758	73238	169328	656877	87720	59772	51755	8036	9184.5	6189.5	408227	34787
672412	16156	150943.5	1016179.5	7976.5	88846.5	667240.5	43144.5	641976.5	801912.5	66291.5	14651.5	8463	109265	1250751.5	183509.5
22567	5959	191094	36753	22325.5	55024.5	673989	391056	128864.5	32003.5	167670	669267	25462	9165	735762	106993
531716.5	19886.5	259447.5	33460.5	39371	43248	702492	22296	245977	149	54636.5	1678.5	677154.5	5304.5	1645.5	646.5
901107.5	89892.5	21702	424007	463639.5	138353.5	98647.5	52692.5	34112	7397	12576.5	619046.5	511816.5	98968.5	103987	63092
9349.5	4248.5	354024.5	8625.5	31276	7750	65012.5	26337.5	34050	7915	27099	58197	103574.5	169196.5	75904	50329
5667.5	204688.5	360186	202505	3552.5	26217.5	40862.5	3333760.5	4065.5	142815.5	29878.5	6572.5	294293.5	435362.5	4598.5	87971.5
21474	29578	507700.5	42687.5	40794	8639	20525.5	11578.5	8440	694	463691	485582	16569	20998	7975	16317
15072	48467	569845	29904	96091.5	5515.5	96031.5	10402.5	13805.5	64121.5	403123	83153	200513	1016405	452655.5	74217.5
2490	43485	684443.5	12281.5	84434.5	22050.5	6039.5	146111.5	39785.5	7412.5	44103	68916	544886	70129	19891.5	42316.5
627937	20782	603076	6798	653942.5	12551.5	27858.5	106227.5	13638	719	33251.5	4476.5	170819.5	486903.5	14853.5	31390.5
627670	30054	94434	9884	225177.5	867572.5	19996.5	604876.5	29804	173759	23969.5	48224.5	3091	4056	452878	29459
508557	70910	103049	178087	14222	294782	22910.5	547.5	2645	24069	150619.5	20270.5	11711.5	892.5	330589	24725
30551	98073	109626.5	87442.5	31037.5	52049.5	43204.5	4143.5	11151	16549	5742	112110	106347	11439	139650.5	304295.5
489748	118506	158260	56848	220545	399326	50702.5	507772.5	34478	778691	21504	263165	3651	30602	240984.5	71052.5
176906.5	158150.5	208584	392789	147195.5	588346.5	51162.5	21372.5	94179	8253	25063	80964	21082	71043	345773.5	329378.5
143673.5	61688.5	219884	631423	28855	70431	48046.5	481027.5	4449	250998	4363.5	30623.5	41530	45367	5097.5	445164.5
127932.5	52784.5	464274.5	473.5	127052.5	47533.5	115009	239621	2145	97683	57557.5	1193521.5	9116	14139	43112	35221
415135.5	733977.5	634760	60458	20968	21154	112762.5	1247387.5	26107	46934	64278	108720	50447.5	190279.5	41271.5	1031922.5
121573.5	7041.5	641593	66610	54751	1013398	43562.5	70616.5	24339	1116	231571	11308	33609	316608	188846.5	21273.5
205387	375615	760420.5	27204.5	60188	159967	158168	12180	11796	44856	13243.5	22618.5	548538	27102	728569	357777
328346.5	55857.5	527133.5	26677.5	37991.5	484578.5	103251.5	5582.5	13841.5	4812.5	26865.5	44364.5	135124.5	16079.5	38676.5	118947.5
171213.5	68990.5	127554	2382	13974.5	99407.5	146368.5	296196.5	69461.5	3867.5	85516	118273	94571	263504	2922	81302
22252	21754	26657	24863	24568	8872	101337.5	678.5	322297	3651	193495.5	1154253.5	643508.5	36890.5	2770.5	40467.5
113438.5	649276.5	17752	33571	7266	30528	350790	53108	11246.5	13176.5	13539	22282	506469	57076	21275.5	21918.5
46901	23819	13539	43940	17764.5	60017.5	242006.5	6881.5	10782.5	72660.5	219076.5	15892.5	48204.5	395806.5	261333	10393
8032.5	5345.5	25619	60461	51753.5	53561.5	240984.5	114763.5	4495.5	16126.5	28525	46109	16612	327926	26585.5	47301.5
12850	462754	41395	113811	20527	11271	4391	3016	958.5	155497.5	29811.5	40902.5	80844.5	47642.5	257540	507949
1441863.5	23415.5	43040	22862	40877.5	489038.5	4670.5	305660.5	45059	30584	66701	1493	3195.5	4029.5	1636883	164418
1084007	53178	60558	37259	13154	1116088	12105.5	23363.5	42468.5	80991.5	19429	89008	66803.5	87097.5	5548	310145
896719	37773	77336	443930	13661.5	239140.5	16989.5	2741084.5	5655	2079	34318.5	1240349.5	10222	72023	21710.5	27274.5
819268.5	144454.5	131147.5	154715.5	16400	147243	23825	289884	11868	3727	5493.5	406484.5	52856	2323	27208.5	12034.5
180883	605152	129808.5	6530.5	157799.5	165109.5	242224.5	10599.5	53748.5	15660.5	7379	151333	103874.5	86767.5	165718	175697
36328.5	124509.5	100097.5	1332832.5	36925.5	32496.5	242740.5	678539.5	11137	180814	12251	106012	31668.5	17491.5	56780.5	1210796.5
129195.5	71514.5	39067	37346	229569.5	82511.5	846915	44587	3699	291226	18421	52019	25159.5	25045.5	12105.5	26316.5
650196	53995	14467	33414	248107.5	411123.5	28976	103801	6707	604679	24352.5	568.5	346019.5	47299.5	684159	55572
33964	3581	1724.5	1149.5	26486.5	193490.5	86694.5	72414.5	28535.5	37267.5	137944	137032	18919.5	15280.5	83115.5	336598.5
47643.5	3879.5	42184	9584	9009	14696	413350.5	103817.5	17988.5	13564.5	10680	59	202991.5	16560.5	17050.5	23326.5
48358	50426	10531.5	442889.5	43331	291889	308876.5	31485.5	23506	21431	48593	5017	12510.5	462683.5	138885.5	63977.5
28769	14405	98453.5	669196.5	43904	4650	298860.5	17787.5	5359.5	83108.5	2057	1315983	126736.5	114577.5	83168.5	38761.5
27426	18067	116141	107680	2478.5	12489.5	10620	5654	26454.5	43722.5	33155.5	56152.5	758074	16987	155132	31969
58842.5	259386.5	30822	12118	5066	245892	163171.5	50356.5	10358.5	491080.5	26964	433882	78714	8421	50617.5	38552.5
6868.5	44903.5	15925.5	99151.5	32280	183573	39365.5	24931.5	13677.5	243288.5	4598	483249	82902.5	30937.5	238505.5	305357.5
1230.5	619580.5	986.5	92995.5	604101	532922	347936.5	19048.5	81743	1877	3523	74989	22380.5	2441538.5	168860	33645
124124.5	660636.5	6703	506346	65055.5	11766.5	69498	1867764	3759.5	2007.5	1258.5	1251220.5	432725.5	63834.5	39887	444042
132591	798846	11188	44955	11669.5	25691.5	69701	47880	28934	134604	34481	300174	63810	8488	31888.5	113766.5
872	19809	7926.5	193892.5	126497.5	5471.5	73537.5	88554.5	24563.5	136.5	15563	16741	11471	17447	150353.5	465140.5
