TS_REDE_es_mean	TS_REDE_ts_mean	TS_REDE_Rel_exp	TS_NEDE_es_mean	TS_NEDE_ts_mean	TS_NEDE_Rel_exp	TS_nonEnhTE_es_mean	TS_nonEnhTE_ts_mean	TS_nonEnhTE_Rel_exp	No_TS_Enh_es_mean	No_TS_Enh_ts_mean	No_TS_Enh_Rel_exp	es_mean	ts_mean	Rel_exp
1.088005025	1.2997748	-0.211769775	0.17804056	2.480688	-2.30264744	-5.0057205	-4.82945565		-4.7802323	-4.60396745		-5.4329989	-5.3327355	
-6.58189365	-6.405629		4.1919493	4.59584095	-0.403891649999999	-5.0241575	-4.847893		-3.8014114	-4.49362935		-2.1884239	-3.1731231	
2.7465496	2.0238349	0.7227147	4.78297525	4.588878	0.19409725	-6.8332697	-7.52548775		-6.156082	-6.05581905		-5.5798182	-5.3275515	
5.207103	5.25655125	-0.0494482499999993	-2.0124469	-1.1225759		0.714236275	1.7382501	-1.024013825	-3.9433114	-4.4190497		-6.14139535	-4.520646	
2.22435295	3.4067601	-1.18240715	4.17764875	3.3228527	0.85479605	2.0125909	1.98322895	0.0293619500000002	-5.6916953	-5.43942915		-4.3124149	-4.13615015	
-5.1715299	0.58927983	-5.76080973	-4.4545584	-2.5270438		2.24209645	2.0857395	0.15635695	1.02135532	0.6180207	0.40333462	-5.07072465	-4.89446	
-3.9174925	-0.2536488065	-3.6638436935	2.09460755	5.5432132	-3.44860565	-7.9376485	-7.7613842		-4.1952696	-4.0190047		-4.3048943	-4.1286293	
-3.3743253	-2.30925675		0.473701805	4.39158555	-3.917883745	1.7184663	2.757345	-1.0388787	-4.57043975	-4.39417485		-4.6035115	-4.4272465	
2.8949175	3.7273952	-0.8324777	5.0585885	3.722545	1.3360435	0.9092314	0.781857165	0.127374235	-2.4899185	-5.75813845		-3.83077215	-4.230509	
0.7858258	-0.251956275	1.037782075	5.65358355	7.90341925	-2.2498357	-5.74874965	-6.57248525		-3.1888113	-4.570285		-5.73150975	-5.5552449	
-4.8247359	-4.6484709		1.6824255	2.5983282	-0.9159027	0.7410158	0.69614756	0.04486824	-4.76203895	-4.58577415		-3.2777936	-6.242172	
0.06974514	-1.07278882	1.14253396	-3.0304482	-1.7109065		3.040795	2.74531875	0.29547625	-4.0626673	-4.7548853		-6.2161347	-6.03987	
